,contentid,title
0,2549201,백룡동굴
1,2547446,북한산 생태탐방연수원
2,2549156,주왕산 국립공원
3,2549242,목포시 특정자생식물원
4,2547515,낙동강하구명소
5,2549244,동림저수지
6,2549266,무주반디랜드 반딧불이자연학교
7,2547343,경안천 습지생태공원
8,2547441,한려해상 국립공원
9,2547356,안양천 생태이야기관
10,2549222,정남진(편백숲우드랜드)
11,2549225,백두대간 숲 생태원
12,2547537,태종대명소
13,2549236,줄포만갯벌생태공원
14,2549150,지리산 남부 국립공원
15,2549263,서산 버드랜드
16,2547517,몰운대
17,2508764,설악산국립공원
18,2549174,운문호반에코트레일
19,2547520,송도반도명소
20,2549190,서귀포시 걸매생태공원
21,2549159,문경새재 도립공원
22,2549275,에너지자립섬 자급자족 죽도
23,2508660,"강화도 남단(여차리, 선두리 해안)"
24,2508663,보성 벌교 갯벌
25,2549195,성류굴
26,2547349,대송습지
27,2509443,전남 신안 증도 [슬로시티]
28,2547509,남해나비생태공원
29,2547355,의왕자연학습공원(레솔레파크)
30,2549177,물영아리 오름
31,2508714,영종도
32,2549147,경주 국립공원
33,2549247,태백고생대자연사 박물관
34,2549253,개매기체험
35,2508718,창원 주남저수지
36,2547443,북악산생태탐방로
37,2549224,태안해안 국립공원
38,2547350,선암골생태유람길(숲소리길)
39,2549173,동백동산 습지센터
40,2549187,경북동해안지질공원
41,2508698,시화호
42,2549221,문경활공랜드
43,2547454,화포천습지 생태공원
44,2508767,월출산국립공원
45,2508716,옹진군 신도
46,2549246,순천만국가정원
47,2547328,속리산국립공원
48,2508605,고성 DMZ
49,2547521,대청호자연생태관
50,2508606,양구DMZ
51,2547330,월악산국립공원
52,2508769,치악산국립공원
53,2549198,고씨동굴
54,2509413,태안군 신두리 해안사구
55,2508755,북한산국립공원
56,2508766,오대산국립공원
57,2549146,내장산 국립공원(백암)
58,2547352,강화갯벌센터
59,2549220,계룡산 국립공원
60,2508723,만장굴
61,2508628,순천만 자연생태공원
62,2547339,괴산 산막이옛길
63,2549237,강원도 자연환경연구공원
64,2547518,대청호 추동습지
65,2508748,덕유산국립공원
66,2549180,제주1100 고지습지
67,2549188,변산반도 국립공원
68,2508770,한라산국립공원
69,2549248,운곡 람사르
70,2508635,창녕군 우포늪
71,2508720,단양고수동굴
72,2508649,제주도 하도리 숨비소리길(하도리밭담길)
73,2509451,전남 완도 청산도 [슬로시티]
74,2547399,진천만뢰산 자연생태공원
75,2508765,소백산국립공원
76,2549194,내장산 국립공원
77,2508608,파주DMZ
78,2549149,국립 종복원기술센터
79,2549152,제주세계자연유산센터
80,2549271,수분마을
81,2549232,금강생태문화탐방로1
82,2549215,고창선사문화탐방로1
83,2549259,전주자연생태 체험센터
84,2549223,고창선사문화탐방로3
85,2549272,하곡마을
86,2549233,금강생태문화탐방로2
87,2549218,고창선사문화탐방로2
88,2549210,지리산 북부 국립공원
89,2549217,백운산자연휴양림
90,2547442,한려해상 국립공원(동부)
91,2549234,자연생태박물관
92,2547444,토성산성 어울길
93,2549235,솔향기길 3코스
94,2549214,하례리생태관광마을
95,2547447,거제생태탐방로(양지암등대길)
96,2549164,낙동강생태문화탐방로 청룡사권
97,2549254,사곡리마을
98,2547445,거제생태문화탐방로(천주교순례길)1
99,2549196,증도 모실길
100,2549216,문경한지체험장
101,2547357,온달동굴
102,2547353,제천솔방죽 생태공원
103,2508664,서귀포시 성산포
104,2547348,선암골생태유람길(고개넘어길)
105,2549211,함평곤충생태관
106,2547513,금정산명소
107,2508610,무안갯벌
108,2549171,왕피천생태탐방로
109,2547329,한탄강변자연생태탐방로(벼롯길)
110,2547326,갯골생태문화탐방로
111,2549153,소백산국립공원(영주)
112,2549166,낙동강생태문화탐방로 경천대권
113,2549161,땅끝길
114,2549192,울진 금강소나무숲길
115,2547519,백양산명소
116,2508616,무제치늪
117,2547449,봉황교~비봉산 생태탐방로
118,2547325,다산생태공원
119,2547354,명지산-청계산 생태공원
120,2549197,제주 노루생태관찰원
121,2549229,성보예술촌
122,2549205,국립대야산자연휴양림
123,2549204,무릉2리마을
124,2549203,민물고기 생태체험관
125,2549200,탐진강-강진만생태탐방로
126,2547514,지리산생태과학관
127,2549257,선학동마을
128,2549231,솔향기길 2코스
129,2549243,낙동 승곡마을(농촌체험마을)
130,2549179,태화강
131,2549189,순천만백리길
132,2547535,장산명소
133,2549209,정남진해양낚시공원
134,2547512,구상반려암명소
135,2549158,곡성섬진강물따라300리나들길2
136,2547485,주남저수지 생태학습관
137,2549256,수평마을(삼근리마을)
138,2547448,남해 바래길
139,2549186,섬진강 생태탐방로
140,2549270,순천시월등면향매실마을
141,2549251,지리산 생태탐방연수원
142,2549167,소백산자락길 동무삼기
143,2549175,성안 숯못 자연생태공원
144,2547516,두송반도명소
145,2549249,서천군 조류 생태 전시관
146,2547419,지동산촌마을
147,2549227,솔향기길 1코스
148,2547344,안산 갈대습지공원
149,2547525,오륙도명소
150,2549268,순천시승주읍순천생태마을
151,2508609,두웅습지
152,2549182,퇴계오솔길
153,2547335,한탄강자연생태탐방로
154,2549191,억불산명품테마길
155,2549226,곡성군섬진강 자연학습원
156,2549261,황금소마을(농촌체험마을)
157,2549148,달성하천습지
158,2549151,다도해 국립공원(완도)
159,2549264,순천시별량면거차뻘배체험마을
160,2547450,진양호자연생태문화탐방로
161,2549273,순천시주암면순천용오름마을
162,2549239,궁터산촌생태체험마을
163,2549163,낙동강생태문화탐방로 나각산권
164,2547351,선암골생태유람길(농촌풍경길)
165,2549157,곡성섬진강물따라300리나들길1
166,2547346,선암골생태유람길(물소리길)
167,2549155,다도해 국립공원(서부)
168,2547327,임진강변생태탐방로(율곡습지꽃가람놀이배움터)
169,2508681,서산시 천수만
170,2549181,청도 신화랑 운문 에코트레일
171,2549219,순천자연휴양림
172,2549258,국립 생태원
173,2547347,한탄강임진강지질공원
174,2549208,예래마을
175,2549267,중동마을
176,2549260,심마니마을(가시오가피 마을)
177,2549262,순천시낙안면꽃마차마을
178,2549170,협재굴
179,2509471,태안군
180,2549202,용연동굴
181,2549206,화암동굴
